,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 1,Jogo 2,Jogo 2,Jogo 2,Jogo 2,Jogo 2,Jogo 2
,partida_id,rodata,clube,cartao,atleta,num_camisa,posicao,minuto,partida_id,rodata,clube,atleta,minuto,tipo_de_gol
0,4607,1,Figueirense,Amarelo,Paulo Roberto da Silva,28.0,,66,4607.0,1.0,Fluminense,Nirley da Silva Fonseca,59,Gol Contra
1,4607,1,Figueirense,Amarelo,Thiago Heleno,4.0,Zagueiro,44,4607.0,1.0,Fluminense,Fred,45,Penalty
2,4608,1,Internacional,Amarelo,Andrés D'Alessandro,10.0,Meio-campo,72,4607.0,1.0,Fluminense,Rafael Sóbis,31,
3,4608,1,Vitoria,Amarelo,Marcelo Machado dos Santos,29.0,,86,4608.0,1.0,Internacional,Charles Aránguiz,6,
4,4608,1,Vitoria,Amarelo,Mansur,,Zagueiro,10,4612.0,1.0,Cruzeiro,Nílton Ferreira Júnior,63,
5,4608,1,Internacional,Amarelo,Juan Silveira dos Santos,4.0,Zagueiro,20,4612.0,1.0,Cruzeiro,Marcelo Moreno,90,
6,4608,1,Vitoria,Amarelo,Vinícius Santos Silva,,,82,4612.0,1.0,Bahia,Anderson Talisca,80,Penalty
7,4609,1,Coritiba,Amarelo,Carlos Emiliano Pereira,30.0,Zagueiro,76,4611.0,1.0,Sao Paulo,Antônio Carlos dos Santos Aguiar,13,
8,4612,1,Bahia,Amarelo,Cristian Chagas Tarouco,3.0,Zagueiro,78,4611.0,1.0,Sao Paulo,Douglas Pereira dos Santos,22,
9,4612,1,Bahia,Amarelo,Rhayner,,Atacante,41,4611.0,1.0,Sao Paulo,Luís Fabiano,56,
10,4612,1,Cruzeiro,Amarelo,Willian Farias,15.0,,90+1,4610.0,1.0,Athletico-PR,Dráusio Luis Salla Gil,16,
11,4612,1,Cruzeiro,Amarelo,Willian Gomes de Siqueira,9.0,Atacante,45+1,4615.0,1.0,Santos,Gabriel Barbosa,80,
12,4612,1,Bahia,Amarelo,Pará,40.0,Zagueiro,60,4615.0,1.0,Sport,Neto Baiano,73,
13,4612,1,Bahia,Amarelo,Fahel,7.0,Meio-campo,39,4616.0,1.0,Criciuma,Paulo Baier,12,
14,4612,1,Cruzeiro,Amarelo,Paulo César Tinga,7.0,Meio-campo,48,4616.0,1.0,Palmeiras,Leandro,83,
15,4612,1,Cruzeiro,Amarelo,Nílton Ferreira Júnior,19.0,Meio-campo,22,4616.0,1.0,Palmeiras,Alan Kardec,88,
16,4611,1,Botafogo-RJ,Amarelo,Marcelo Mattos,5.0,Meio-campo,67,4618.0,2.0,Fluminense,Rafael Sóbis,45,
17,4611,1,Sao Paulo,Amarelo,Álvaro Pereira,6.0,Zagueiro,31,4620.0,2.0,Vitoria,Telmário de Araújo Sacramento,11,
18,4611,1,Botafogo-RJ,Amarelo,Juan Carlos Ferreyra,9.0,Atacante,30,4620.0,2.0,Vitoria,José Welison,36,
19,4610,1,Athletico-PR,Amarelo,Paulinho Dias,17.0,Meio-campo,38,4620.0,2.0,Athletico-PR,Mosquito,78,
20,4610,1,Gremio,Amarelo,Ramiro Moschen Benetti,17.0,Meio-campo,62,4620.0,2.0,Athletico-PR,Marcelo Cirino da Silva,83,
21,4610,1,Gremio,Amarelo,Edinho,15.0,Meio-campo,72,4622.0,2.0,Cruzeiro,Júlio Baptista,50,
22,4614,1,Flamengo,Amarelo,Wallace Reis da Silva,14.0,Zagueiro,47,4622.0,2.0,Sao Paulo,Antônio Carlos dos Santos Aguiar,90+2,
23,4614,1,Flamengo,Amarelo,Léo Moura,2.0,Zagueiro,31,4619.0,2.0,Botafogo-RJ,Emerson Sheik,64,
24,4614,1,Goias,Amarelo,Thiago Henrique Mendes Ribeiro,23.0,Meio-campo,72,4619.0,2.0,Botafogo-RJ,Pablo Zeballos,75,
25,4614,1,Flamengo,Amarelo,Lucas Mugni,,Meio-campo,37,4619.0,2.0,Internacional,Rafael Moura,9,
26,4614,1,Flamengo,Amarelo,Maurício Azevedo Alves,40.0,Meio-campo,24,4619.0,2.0,Internacional,Rafael Moura,35,
27,4614,1,Goias,Amarelo,Tiago Real,,,69,4621.0,2.0,Corinthians,Guilherme dos Santos Torres,9,
28,4615,1,Santos,Amarelo,Jubal Rocha Mendes Júnior,36.0,,90+1,4621.0,2.0,Corinthians,Carlos Gilberto do Nascimento Silva,80,
29,4615,1,Sport,Amarelo,Luiz Antonio Linhares Garcia,13.0,Zagueiro,55,4626.0,2.0,Chapecoense,Ricardo Conceição,37,
30,4615,1,Sport,Amarelo,Neto Baiano,9.0,Atacante,75,4626.0,2.0,Sport,Rithely,12,
